# NEM 2010 half-hourly demand
#
# NSW   QLD     SA1     TAS    VIC
10962.34 6851.91 2809.11 1050.24 6922.20
10976.44 6877.69 2817.54 1032.82 7052.32
10946.85 6903.30 2831.03 1023.83 7126.22
10942.32 6948.42 2852.63 1028.57 7229.46
10808.63 6968.60 2865.18 1046.91 7280.52
10729.51 6954.13 2885.50 1070.75 7350.03
10616.73 7001.10 2898.97 1100.02 7362.96
10459.90 7011.63 2895.84 1092.58 7321.88
10224.31 6912.39 2878.63 1093.75 7197.57
9906.74 6894.22 2799.19 1110.08 7026.40
9763.43 6967.43 2739.16 1105.68 6815.09
9747.42 6941.48 2723.79 1109.36 6649.86
9552.28 6803.15 2672.10 1116.96 6630.87
9218.27 6693.40 2635.87 1114.04 6501.12
9032.21 6655.51 2537.83 1068.55 6198.54
8766.64 6346.30 2436.36 1036.86 5824.82
8508.05 6155.42 2306.29 1004.66 5550.54
8216.68 6000.32 2175.67 984.64 5300.55
7894.73 5856.07 2089.22 962.52 5413.32
7653.16 5633.52 2187.88 958.09 5207.51
7450.22 5404.18 2052.13 941.84 4949.04
7266.32 5289.27 1947.04 930.68 4848.35
6992.29 5113.34 1841.17 932.66 5204.19
6807.72 5027.48 1794.45 945.63 5050.44
6664.83 4989.35 1763.85 931.28 4848.57
6620.38 4900.09 1716.79 929.96 4739.86
6639.21 4914.47 1677.71 921.50 4674.06
6694.37 4914.47 1656.24 937.17 4667.32
6886.97 4934.58 1657.86 952.91 4764.81
7149.26 4975.82 1678.05 964.23 4926.80
7625.78 5081.24 1687.65 991.09 5190.85
8089.21 5275.33 1723.38 1024.96 5446.35
8613.93 5602.01 1788.49 1087.00 5889.87
9156.23 6026.41 1936.43 1125.52 6224.75
9630.35 6463.82 2128.20 1124.40 6417.60
10016.12 6771.70 2294.58 1100.20 6715.43
10343.09 7059.31 2481.12 1103.76 7167.34
10547.13 7303.16 2636.31 1132.37 7454.96
10673.70 7392.72 2764.06 1152.63 7739.89
10792.26 7462.25 2861.16 1157.90 8084.51
10831.86 7587.93 2935.75 1160.53 8384.45
10972.23 7696.33 3005.62 1153.22 8767.66
11009.92 7757.54 3066.36 1140.79 9052.93
11072.85 7826.45 3100.29 1153.59 9306.27
11108.42 7869.43 3118.82 1150.59 9466.66
11216.87 7882.99 3064.78 1137.33 9644.19
11337.47 7939.42 3034.05 1124.12 9769.24
11400.88 7990.32 3003.50 1134.34 9843.38
11479.02 8001.01 2992.18 1144.55 9816.01
11561.22 7978.84 3010.25 1139.53 9767.79
11595.50 7971.28 3038.85 1105.82 9826.41
11671.17 7984.23 3105.41 1133.31 9858.30
11585.90 7929.80 3096.23 1130.91 9800.46
11380.63 7914.64 3080.30 1136.78 9571.41
11091.58 7763.58 3014.54 1130.90 9517.15
10903.05 7611.28 2934.44 1132.56 9506.56
10588.75 7418.25 2932.57 1106.50 9331.73
10361.34 7345.43 2938.38 1116.06 9152.52
10220.46 7338.69 2909.35 1110.01 8971.78
10241.55 7322.81 2826.58 1109.02 8948.48
10033.25 7200.69 2744.79 1139.99 8784.73
9758.93 7047.92 2691.85 1145.62 8618.68
9771.02 6963.40 2539.17 1111.25 8241.00
9484.98 6619.96 2364.18 1069.72 7766.01
9312.23 6400.09 2269.44 1037.18 7293.17
9013.01 6225.08 2160.06 994.38 6913.91
8725.94 6069.39 2070.68 978.90 6987.23
8492.00 5830.67 2181.70 966.12 6659.42
8257.65 5625.09 2054.19 947.10 6326.35
8094.42 5384.96 1948.36 967.15 6160.76
7703.30 5236.96 1793.21 981.00 6479.66
7437.36 5119.78 1702.49 934.17 6184.13
7280.25 5041.19 1677.78 940.17 5927.13
7167.38 5008.73 1647.70 947.76 5832.83
7132.50 5008.96 1639.66 934.76 5784.88
7175.26 4963.79 1634.17 945.68 5725.99
7362.01 4957.33 1619.20 958.39 5854.23
7600.04 5033.60 1618.26 983.90 5980.95
8091.83 5128.61 1640.37 1049.59 6302.68
8598.86 5349.11 1731.13 1091.68 6622.27
9042.02 5716.79 1760.39 1145.89 7222.89
9648.32 6090.73 1876.20 1200.55 7584.09
10059.74 6501.94 1889.29 1229.24 7892.25
10394.09 6869.68 1837.93 1242.86 8143.96
10755.63 7146.12 1895.90 1252.76 8371.15
11008.53 7340.75 1930.80 1228.20 8476.95
11257.75 7460.22 1923.46 1223.49 8608.76
11515.11 7546.94 1909.24 1158.06 8759.40
11799.86 7626.37 1869.35 1161.67 8841.51
12088.04 7740.68 1872.39 1140.38 8914.74
12333.92 7770.82 1845.58 1156.15 9002.82
12531.92 7867.70 1806.76 1149.23 9017.34
12818.19 7911.34 1787.89 1128.65 9102.31
13003.44 7986.95 1778.08 1163.75 9186.42
13144.98 8026.60 1768.20 1165.52 9301.11
