# "Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-046129.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-046126.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-016001.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-018106.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-043091.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-036031.epw"
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.25399,2.00109,0,0,1.50959,0
2.63916,2.74372,2.34823,1.88339,1.07182,0.220638
2.50261,2.87853,2.61578,2.36129,0.205212,0.0913673
2.53368,2.78481,2.59264,1.75811,0.202707,0
2.32488,2.83387,2.48962,0.220472,1.72757,0.321734
2.42353,2.7293,2.39557,0.0458044,1.6995,1.9332
2.68553,2.57586,2.50176,0,0.83817,2.04479
2.78561,2.65231,2.59445,0,2.0623,2.03081
2.78043,2.6249,2.61977,0.877968,1.83744,2.17129
2.60919,2.62746,2.53155,1.48613,0.221616,2.01605
2.3522,2.44463,2.41611,1.97332,0.518329,1.76075
1.02564,1.13536,2.09558,1.28894,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.29288,1.78537,0,0,1.48415,1.16454
2.69705,2.55832,2.33239,0,1.96823,2.28404
2.69107,2.62107,2.35719,0,2.08414,2.37273
2.75473,2.57116,2.36006,0,1.86438,2.33396
2.71408,2.42395,2.07049,0,1.32011,2.16721
2.50545,2.53191,2.1102,0.20941,0.812256,2.40497
2.46674,2.55745,2.2656,1.58503,0,2.21728
2.4983,2.5988,2.35368,1.97368,0,2.20039
2.40165,2.71609,2.38959,1.81375,1.92854,1.82424
2.35695,2.62853,2.35028,0.883157,1.81857,1.15445
2.20199,2.32986,2.20812,2.08011,1.33838,1.41542
0.950542,1.03542,1.85671,0.801408,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.03031,1.57219,0,0,2.24928,0
2.53701,2.6125,2.541,1.70051,2.38766,2.07137
2.53615,2.71476,2.61211,1.82066,2.46483,2.18777
2.56914,2.70192,2.6049,1.70877,2.45506,1.93109
2.58496,2.63835,2.50222,2.08345,2.389,2.23252
2.47273,2.68026,2.53285,2.43237,2.52491,2.37071
2.56676,2.70146,2.55283,2.20459,2.57407,2.36897
2.6178,2.71502,2.59674,1.87456,2.60654,2.28707
2.66526,2.5794,1.69785,2.23111,2.54831,2.28512
2.55398,2.51905,2.2415,2.5525,2.41959,2.31913
2.18838,2.30975,1.86339,1.78929,2.14865,1.7843
0.906523,0.988387,1.99169,0.664411,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.02911,1.4263,0,0,2.29005,0.552531
2.63545,2.47757,2.48004,0,2.457,1.97546
2.47914,2.64369,2.53637,0,2.51339,1.7636
2.6391,2.63801,2.51763,1.00961,2.47924,2.00064
2.62822,2.54363,2.49906,1.94127,2.4161,1.77216
2.56381,2.61772,2.44146,1.59648,2.51789,2.1672
2.70171,2.50218,2.48186,0.470354,2.54357,2.12588
2.77226,2.54237,2.50222,1.32652,2.55789,2.27609
2.74702,2.54575,2.35918,0,2.48088,1.52049
2.50422,2.49957,1.33765,0.00725182,2.37197,1.45471
2.32108,2.20285,1.78675,0,2.13255,1.39222
1.04272,0.981585,0.602433,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.8908,1.43301,0,0,2.216,0.480797
2.67198,2.49494,2.23074,0.135755,2.37513,1.98239
2.68124,2.58862,2.1579,0.570969,2.39903,1.81473
2.70253,2.56178,1.91191,0,2.3417,1.13058
1.93107,2.47527,1.96614,0.0274726,2.27339,1.32311
2.33763,2.64351,2.21988,0.234212,2.37505,0.609274
2.45924,2.67531,2.12652,0.0211539,2.41648,1.41284
2.48247,2.71148,0.525087,0,2.45522,0.657771
2.60793,2.5286,1.81811,0,2.39025,1.08648
2.4986,2.52098,1.94143,0.0239294,2.3034,1.16809
2.20555,2.31223,2.10918,0,2.09716,1.23027
0.886222,0.970222,1.81817,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.73612,1.22638,0,0,2.30722,0.827118
2.34468,2.50019,2.24576,0,2.49738,1.99511
2.31016,2.61001,1.88001,0,2.53822,1.86277
2.45262,2.55983,2.37635,0.253398,2.44717,1.40391
2.47918,2.45244,2.38898,0,2.39834,0.914024
2.53467,2.45109,2.40999,0,2.4713,1.2595
2.60744,2.41841,2.38524,0,2.48052,1.3965
2.69826,2.40039,2.38002,0,2.49456,1.64098
2.57747,2.39801,2.29836,0,2.4521,1.73628
2.36675,2.36505,0.807866,0,2.35067,1.31832
1.81202,2.1906,1.48843,0.577604,2.12705,1.31832
0,1.05855,1.87852,1.62374,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.71773,1.22241,0,0,2.2302,0
2.54999,2.51791,2.2482,0.514921,2.42466,1.95086
2.4145,2.65317,2.37293,0.220002,2.4762,2.3429
2.51719,2.65046,2.46015,1.48143,2.4061,2.29374
2.4785,2.52386,2.13928,1.64264,2.34366,2.23342
2.31006,2.6232,1.27365,1.72867,2.41588,2.15908
2.34212,2.55278,0.263192,1.59161,2.41712,1.95507
